,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-323,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-080,1991,17,13,1175,13.1,1,3,1,0,0,3,0,0.08,0.23,0.31,0.08,0.31,1.0,1.0,1.8,2.8,0.08,0.14,0.21,0.08,0.21,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-251,1996,15,13,1224,13.6,0,1,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,0.1,0.1,0.9,1.0,0.01,0.07,0.07,0.01,0.07,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-021,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-228,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,21-347,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-109,1995,14,12,1044,11.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-310,1993,11,8,776,8.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-275,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,Matches
